course_a,course_b,path_a,path_b,similarity,distance
93333,B0070,data/courses/.files/2025/course-93333.yml,data/courses/.files/2025/course-B0070.yml,0.50339271,0.49660729
08574-A,11929-B,data/courses/.files/2025/course-08574-A.yml,data/courses/.files/2025/course-11929-B.yml,0.50338649,0.49661351
60348,73435,data/courses/.files/2025/course-60348.yml,data/courses/.files/2025/course-73435.yml,0.50338283,0.49661717
82202,88325,data/courses/.files/2025/course-82202.yml,data/courses/.files/2025/course-88325.yml,0.50338277,0.49661723
37925,75835,data/courses/.files/2025/course-37925.yml,data/courses/.files/2025/course-75835.yml,0.50337884,0.49662116
28004,72939,data/courses/.files/2025/course-28004.yml,data/courses/.files/2025/course-72939.yml,0.50337119,0.49662881
65094,78810,data/courses/.files/2025/course-65094.yml,data/courses/.files/2025/course-78810.yml,0.50336745,0.49663255
B0070,B0832,data/courses/.files/2025/course-B0070.yml,data/courses/.files/2025/course-B0832.yml,0.50336717,0.49663283
28011,B4940,data/courses/.files/2025/course-28011.yml,data/courses/.files/2025/course-B4940.yml,0.50336159,0.49663841
00819-A,91267,data/courses/.files/2025/course-00819-A.yml,data/courses/.files/2025/course-91267.yml,0.50335612,0.49664388
81678,B0832,data/courses/.files/2025/course-81678.yml,data/courses/.files/2025/course-B0832.yml,0.50334107,0.49665893
48693-A,94442,data/courses/.files/2025/course-48693-A.yml,data/courses/.files/2025/course-94442.yml,0.50333015,0.49666985
07276,73302,data/courses/.files/2025/course-07276.yml,data/courses/.files/2025/course-73302.yml,0.50332726,0.49667274
81683,98618,data/courses/.files/2025/course-81683.yml,data/courses/.files/2025/course-98618.yml,0.50332176,0.49667824
87898,B8905,data/courses/.files/2025/course-87898.yml,data/courses/.files/2025/course-B8905.yml,0.50331802,0.49668198
90074,B0070,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-B0070.yml,0.50330504,0.49669496
B2696,B8562,data/courses/.files/2025/course-B2696.yml,data/courses/.files/2025/course-B8562.yml,0.50330313,0.49669687
48693,87898,data/courses/.files/2025/course-48693.yml,data/courses/.files/2025/course-87898.yml,0.50330050,0.49669950
07276-B,B0069,data/courses/.files/2025/course-07276-B.yml,data/courses/.files/2025/course-B0069.yml,0.50329976,0.49670024
96346-B,B0069,data/courses/.files/2025/course-96346-B.yml,data/courses/.files/2025/course-B0069.yml,0.50329976,0.49670024
85573,B8018,data/courses/.files/2025/course-85573.yml,data/courses/.files/2025/course-B8018.yml,0.50329325,0.49670675
57828,B5793,data/courses/.files/2025/course-57828.yml,data/courses/.files/2025/course-B5793.yml,0.50329175,0.49670825
72938,B5292,data/courses/.files/2025/course-72938.yml,data/courses/.files/2025/course-B5292.yml,0.50329101,0.49670899
